cement,water,superplastic,age,strength,cement_slag,cement_ash,water_fineagg,ash_superplastic
0.0897260273972603,0.652555910543131,0.0,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1527397260273972,0.2915335463258787,0.3354037267080745,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3378995433789954,0.5239616613418531,0.170807453416149,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3744292237442922,0.8482428115015974,0.0,1,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1205479452054794,0.5710862619808308,0.2826086956521739,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3493150684931507,0.560702875399361,0.0,3,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.147945205479452,0.652555910543131,0.0,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3410958904109589,0.5327476038338659,0.1987577639751552,2,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.4429223744292237,0.560702875399361,0.0,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1210045662100456,0.5766773162939297,0.2795031055900621,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1136986301369863,0.3650159744408945,0.5683229813664596,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1621004566210045,0.560702875399361,0.0,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.6461187214611872,0.512779552715655,0.0,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3093607305936073,0.8482428115015974,0.0,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1484018264840182,0.5047923322683706,0.217391304347826,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.2552511415525114,0.4784345047923322,0.2080745341614906,4,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3093607305936073,0.8482428115015974,0.0,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.5342465753424658,0.4808306709265176,0.093167701863354,1,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.2025114155251141,0.3218849840255591,0.2422360248447204,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.4810502283105022,0.4496805111821086,0.248447204968944,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.2915525114155251,0.5862619808306708,0.1894409937888198,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.2876712328767123,0.5103833865814695,0.0,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3059360730593607,0.560702875399361,0.0,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.0684931506849315,0.4568690095846645,0.15527950310559,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.5228310502283106,0.560702875399361,0.0,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.4748858447488584,0.3690095846645367,0.3105590062111801,1,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.4611872146118721,0.8482428115015974,0.0,3,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.7374429223744292,0.2531948881789138,0.5124223602484471,3,5,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1463470319634703,0.4369009584664536,0.139751552795031,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3493150684931507,0.536741214057508,0.186335403726708,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.541095890410959,0.6006389776357828,0.0,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.8515981735159818,0.8482428115015974,0.0,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.0997716894977168,0.4800319488817892,0.1055900621118012,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.4817351598173516,0.0415335463258786,0.248447204968944,1,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.5228310502283106,0.560702875399361,0.0,3,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1735159817351598,0.4640575079872205,0.1118012422360248,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1438356164383561,0.3354632587859426,0.0,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3999999999999999,0.3107028753993609,0.3478260869565217,1,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.5091324200913242,0.4968051118210863,0.0,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1484018264840182,0.3370607028753993,0.2453416149068323,1,4,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.2116438356164383,0.3865814696485622,0.232919254658385,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.3305936073059361,0.1717252396166135,0.3726708074534161,2,5,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.639269406392694,0.5047923322683706,0.0,1,3,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.1073059360730593,0.4888178913738019,0.217391304347826,1,2,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.9801369863013698,0.159744408945687,0.8757763975155278,3,5,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.6506849315068494,0.281150159744409,0.3602484472049689,2,5,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
0.2089041095890411,0.5103833865814695,0.0,1,1,-0.0157641630418969,-0.0303307140226128,-0.015460960903517,0.0223991194984827
