cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
0.0897260273972603,0.5898720089037285,0.0,0.652555910543131,0.0,0.4965116279069766,0.3876066231811339,1,2
0.15273972602739727,0.11741791875347804,0.6211894052973513,0.2915335463258787,0.3354037267080745,0.8133720930232556,0.5072754641244356,1,2
0.3378995433789954,0.0,0.4782608695652174,0.5239616613418531,0.17080745341614906,0.4531976744186046,0.6703462117410939,1,2
0.3744292237442922,0.31719532554257096,0.0,0.8482428115015974,0.0,0.3808139534883721,0.190667335674862,1,4
0.12054794520547948,0.5102949360044519,0.0,0.5710862619808308,0.2826086956521739,0.7162790697674422,0.2576517812343202,1,1
0.3493150684931507,0.0,0.0,0.560702875399361,0.0,0.2581395348837208,0.8805820371299548,3,2
0.14794520547945209,0.6961602671118531,0.0,0.652555910543131,0.0,0.5075581395348838,0.24736578023080788,1,1
0.3410958904109589,0.0,0.5912043978010995,0.5327476038338659,0.19875776397515527,0.6610465116279073,0.4106874059207226,2,3
0.4429223744292237,0.0,0.0,0.560702875399361,0.0,0.8255813953488372,0.4290015052684395,1,2
0.12100456621004566,0.5119643850862549,0.7146426786606697,0.5766773162939297,0.2795031055900621,0.22965116279069767,0.26342197691921726,1,2
0.11369863013698633,0.4955481357818587,0.6931534232883558,0.36501597444089456,0.5683229813664596,0.41569767441860467,0.2523833416959358,1,3
0.16210045662100456,0.32276015581524764,0.0,0.560702875399361,0.0,0.42383720930232544,0.6593075765178122,1,1
0.6461187214611872,0.0,0.0,0.512779552715655,0.0,0.4796511627906977,0.42398394380331156,1,2
0.3093607305936073,0.6608235948803561,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0,1,2
0.14840182648401826,0.52031163049527,0.974512743628186,0.5047923322683706,0.21739130434782608,0.2819767441860465,0.1053687907676869,1,2
0.25525114155251144,0.27295492487479134,0.12243878060969515,0.4784345047923322,0.20807453416149066,0.7703488372093024,0.48043151028600095,4,4
0.3093607305936073,0.6608235948803561,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0,1,3
0.5342465753424658,0.0,0.0,0.4808306709265176,0.09316770186335403,0.5377906976744186,0.5594581033617662,1,4
0.20251141552511412,0.0,0.6266866566716642,0.3218849840255591,0.24223602484472048,0.8401162790697675,0.5268439538384345,1,1
0.48105022831050226,0.0,0.0,0.4496805111821086,0.24844720496894407,0.5776162790697675,0.572503763171099,1,2
0.2915525114155251,0.0,0.5907046476761619,0.5862619808306708,0.18944099378881984,0.6601744186046509,0.41043652784746615,1,1
0.2876712328767123,0.9518642181413468,0.0,0.5103833865814695,0.0,0.44999999999999984,0.20145509282488697,1,2
0.3059360730593607,0.43683917640511966,0.0,0.560702875399361,0.0,0.49883720930232567,0.3891118916206724,1,2
0.0684931506849315,0.5759599332220368,0.8045977011494253,0.45686900958466453,0.15527950310559005,0.19186046511627908,0.3562468640240843,1,3
